=========================================================
Revision: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5.revisions
############## CONFLICT ##############
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
implements DebuggerControl
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidDebuggerControl.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override public boolean isDebuggerAttached() {
    return Debug.isDebuggerConnected();
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AndroidDebuggerControl.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@TargetApi(ICE_CREAM_SANDWICH) public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static void installOnIcsPlus(Application application, RefWatcher refWatcher) {
    if (SDK_INT < ICE_CREAM_SANDWICH) {
      // If you need to support Android < ICS, override onDestroy() in your base activity.
      return;
    }
    ActivityRefWatcher activityRefWatcher = new ActivityRefWatcher(application, refWatcher);
    activityRefWatcher.watchActivities();
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public ActivityRefWatcher(Application application, final RefWatcher refWatcher) {
    this.application = checkNotNull(application, "application");
    this.refWatcher = checkNotNull(refWatcher, "refWatcher");
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
void onActivityDestroyed(Activity activity) {
    refWatcher.watch(activity);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void watchActivities() {
    // Make sure you don't get installed twice.
    stopWatchingActivities();
    application.registerActivityLifecycleCallbacks(lifecycleCallbacks);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void stopWatchingActivities() {
    application.unregisterActivityLifecycleCallbacks(lifecycleCallbacks);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/ActivityRefWatcher.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public abstract
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: ExtendsList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
extends IntentService
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static void sendResultToListener(Context context, String listenerServiceClassName,
      HeapDump heapDump, AnalysisResult result) {
    Class<?> listenerServiceClass;
    try {
      listenerServiceClass = Class.forName(listenerServiceClassName);
    } catch (ClassNotFoundException e) {
      throw new RuntimeException(e);
    }
    Intent intent = new Intent(context, listenerServiceClass);
    intent.putExtra(HEAP_DUMP_EXTRA, heapDump);
    intent.putExtra(RESULT_EXTRA, result);
    context.startService(intent);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public AbstractAnalysisResultService() {
    super(AbstractAnalysisResultService.class.getName());
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override protected final void onHandleIntent(Intent intent) {
    HeapDump heapDump = (HeapDump) intent.getSerializableExtra(HEAP_DUMP_EXTRA);
    AnalysisResult result = (AnalysisResult) intent.getSerializableExtra(RESULT_EXTRA);
    try {
      onHeapAnalyzed(heapDump, result);
    } finally {
      //noinspection ResultOfMethodCallIgnored
      heapDump.heapDumpFile.delete();
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: SameSignatureCM
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 1
Consecutive Lines: 0
Intersection: 0
Cause same signature: copiedFile
Possible renaming: 0
Conflict body: 
protected abstract void onHeapAnalyzed(HeapDump heapDump, AnalysisResult result);
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/AbstractAnalysisResultService.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: ExtendsList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
extends View
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public MoreDetailsView(Context context, AttributeSet attrs) {
    super(context, attrs);

    float strokeSize = dpToPixel(2, getResources());
    iconPaint = new Paint();
    iconPaint.setColor(ROOT_COLOR);
    iconPaint.setStrokeWidth(strokeSize);
    iconPaint.setAntiAlias(true);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override protected void onDraw(Canvas canvas) {
    int width = getWidth();
    int height = getHeight();
    int halfHeight = height / 2;
    int halfWidth = width / 2;

    if (opened) {
      canvas.drawLine(0, halfHeight, width, halfHeight, iconPaint);
    } else {
      canvas.drawLine(0, halfHeight, width, halfHeight, iconPaint);
      canvas.drawLine(halfWidth, 0, halfWidth, height, iconPaint);
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void setOpened(boolean opened) {
    if (opened != this.opened) {
      this.opened = opened;
      invalidate();
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
static float dpToPixel(float dp, Resources resources) {
    DisplayMetrics metrics = resources.getDisplayMetrics();
    float px = dp * (metrics.densityDpi / 160f);
    return px;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/MoreDetailsView.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java
############## CONFLICT ##############
Conflict type: ExtendsList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
extends IntentService
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static void runAnalysis(Context context, HeapDump heapDump,
      Class<? extends AbstractAnalysisResultService> listenerServiceClass) {
    Intent intent = new Intent(context, HeapAnalyzerService.class);
    intent.putExtra(LISTENER_CLASS_EXTRA, listenerServiceClass.getName());
    intent.putExtra(HEAPDUMP_EXTRA, heapDump);
    context.startService(intent);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public HeapAnalyzerService() {
    super(HeapAnalyzerService.class.getSimpleName());
    heapAnalyzer = new HeapAnalyzer(createAndroidDefaults(), createAppDefaults());
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@Override protected void onHandleIntent(Intent intent) {
    String listenerClassName = intent.getStringExtra(LISTENER_CLASS_EXTRA);
    HeapDump heapDump = (HeapDump) intent.getSerializableExtra(HEAPDUMP_EXTRA);
    AnalysisResult result = heapAnalyzer.checkForLeak(heapDump.heapDumpFile, heapDump.referenceKey);
    AbstractAnalysisResultService.sendResultToListener(this, listenerClassName, heapDump, result);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/HeapAnalyzerService.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: ExtendsList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
extends View
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public DisplayLeakConnectorView(Context context, AttributeSet attrs) {
    super(context, attrs);

    iconPaint = new Paint();
    iconPaint.setColor(LIGHT_GREY);
    strokeSize = dpToPixel(4, getResources());
    iconPaint.setStrokeWidth(strokeSize);
    iconPaint.setAntiAlias(true);

    clearPaint = new Paint();
    clearPaint.setColor(0);
    clearPaint.setXfermode(new PorterDuffXfermode(CLEAR));
    clearPaint.setAntiAlias(true);

    rootPaint = new Paint();
    rootPaint.setColor(ROOT_COLOR);
    rootPaint.setAntiAlias(true);
    rootPaint.setStrokeWidth(strokeSize);

    leakPaint = new Paint();
    leakPaint.setColor(LEAK_COLOR);
    leakPaint.setAntiAlias(true);
    type = NODE;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
@SuppressWarnings("SuspiciousNameCombination") @Override protected void onDraw(Canvas canvas) {
    int width = getWidth();
    int height = getHeight();

    if (cache != null && (cache.getWidth() != width || cache.getHeight() != height)) {
      cache.recycle();
      cache = null;
    }

    if (cache == null) {
      cache = Bitmap.createBitmap(width, height, ARGB_8888);

      Canvas cacheCanvas = new Canvas(cache);

      float halfWidth = width / 2f;
      float halfHeight = height / 2f;
      float thirdWidth = width / 3;

      if (type == NODE) {
        cacheCanvas.drawLine(halfWidth, 0, halfWidth, height, iconPaint);
        cacheCanvas.drawCircle(halfWidth, halfHeight, halfWidth, iconPaint);
        cacheCanvas.drawCircle(halfWidth, halfHeight, thirdWidth, clearPaint);
      } else if (type == START) {
        float radiusClear = halfWidth - strokeSize / 2;
        cacheCanvas.drawRect(0, 0, width, radiusClear, rootPaint);
        cacheCanvas.drawCircle(0, radiusClear, radiusClear, clearPaint);
        cacheCanvas.drawCircle(width, radiusClear, radiusClear, clearPaint);
        cacheCanvas.drawLine(halfWidth, 0, halfWidth, halfHeight, rootPaint);
        cacheCanvas.drawLine(halfWidth, halfHeight, halfWidth, height, iconPaint);
        cacheCanvas.drawCircle(halfWidth, halfHeight, halfWidth, iconPaint);
        cacheCanvas.drawCircle(halfWidth, halfHeight, thirdWidth, clearPaint);
      } else {
        cacheCanvas.drawLine(halfWidth, 0, halfWidth, halfHeight, iconPaint);
        cacheCanvas.drawCircle(halfWidth, halfHeight, thirdWidth, leakPaint);
      }
    }
    canvas.drawBitmap(cache, 0, 0, null);
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public void setType(Type type) {
    if (type != this.type) {
      this.type = type;
      if (cache != null) {
        cache.recycle();
        cache = null;
      }
      invalidate();
    }
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
static float dpToPixel(float dp, Resources resources) {
    DisplayMetrics metrics = resources.getDisplayMetrics();
    float px = dp * (metrics.densityDpi / 160f);
    return px;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android/src/main/java/com/squareup/leakcanary/internal/DisplayLeakConnectorView.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public final
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public static RefWatcher install(Application application) {
    return RefWatcher.DISABLED;
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
private LeakCanary() {
    throw new AssertionError();
  }
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-android-no-op/src/main/java/com/squareup/leakcanary/LeakCanary.java
############## CONFLICT ##############
Conflict type: ModifierList
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
Different Spacing: 0
Consecutive Lines: 0
Intersection: 0
Cause same signature: 
Possible renaming: 0
Conflict body: 
public
File path: /tmp/downloads/leakcanary/revisions/rev_f0cc0_331f5/rev_f0cc0-331f5/library/leakcanary-analyzer/src/test/java/com/squareup/leakcanary/HeapAnalyzerTest.java
############## CONFLICT ##############
Conflict type: EditSameMC
Merge Commit SHA-1: f4a00761a400f56e7aded0f1d7826ddfeeb129a4
Parent1 SHA-1: f0cc04dfbf3cca92a669f0d250034d410eb05816
Parent2 SHA-1: 331f5933395f003017c393925d4ac844265418d6
Number of Conflicts: 1
